"","placement","Manual.Placement","acm_id","Math.Confidence","Ed_HS","Ed_SomeCol","Ed_Col","HasTutored","SpanishAble","Lang_Other","Male","Other.Gender","Race.Ethnicity.Hispanic","Race.Ethnicity.Asian","Race.Ethnicity.White","Race.Ethnicity.Black","Birth.Date","days_old","Manual.Placement_id","School","size","span","% Hispanic","Address","nhood","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt","AA_tgt","acm_dest_id","time"
"54",8,"Clinton MS","362",0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,8,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"362 - 8",0
"55",8,NA,"40",0,0,0,1,0,0,0,0,0,1,0,0,0,"03/12/1994",8494,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"40 - 8",0
"56",8,NA,"412",0,0,0,1,0,0,0,0,0,1,0,0,0,"06/06/1995",8043,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"412 - 8",0
"57",8,NA,"115",1,0,0,1,0,1,0,0,0,1,0,0,0,"11/30/1993",8596,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"115 - 8",19.2833333333333
"58",8,NA,"66",1,0,0,1,0,0,0,1,0,0,0,0,0,"12/11/1994",8220,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"66 - 8",0
"59",8,"Clinton MS","334",1,0,0,1,0,0,0,0,0,0,1,0,0,"07/23/1993",8726,8,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"334 - 8",0
"60",8,NA,"380",0,0,0,1,0,0,0,0,0,1,0,0,0,"08/01/1994",8352,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"380 - 8",0
"61",8,NA,"94",1,0,0,1,0,1,0,1,0,0,0,0,0,"10/12/1995",7915,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"94 - 8",0
"62",8,NA,"61",1,0,0,1,0,0,0,0,0,0,0,0,0,"04/08/1995",8102,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"61 - 8",27.2333333333333
"63",8,NA,"45",0,0,0,1,0,0,0,0,0,0,0,1,0,"08/14/1995",7974,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"45 - 8",0
